Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,8860989,26582967
1,false,true,8860989,26582967
1,true,false,8860989,26582967
1,false,false,8860989,26582967
2,true,true,8860989,13291485
2,false,true,8860989,13291485
2,true,false,8860989,13291485
2,false,false,8860989,13291485
4,true,true,8860989,6892754
4,false,true,8860989,7033246
4,true,false,8860989,6906863
4,false,false,8860989,7035152
8,true,true,8860989,3961748
8,false,true,8860989,4732347
8,true,false,8860989,4124785
8,false,false,8860989,4781689
16,true,true,8860989,2385088
16,false,true,8860989,4150652
16,true,false,8860989,3035238
16,false,false,8860989,4310030
32,true,true,8860989,2068720
32,false,true,8860989,4137709
32,true,false,8860989,2940470
32,false,false,8860989,4302218
64,true,true,8860989,2063605
64,false,true,8860989,4137704
64,true,false,8860989,2936545
64,false,false,8860989,4302213
128,true,true,8860989,2063280
128,false,true,8860989,4137704
128,true,false,8860989,2936479
128,false,false,8860989,4302213
256,true,true,8860989,2063244
256,false,true,8860989,4137704
256,true,false,8860989,2936478
256,false,false,8860989,4302213
512,true,true,8860989,2063244
