Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,782335
4,false,true,1000001,806146
4,true,false,1000001,784828
4,false,false,1000001,806464
8,true,true,1000001,453579
8,false,true,1000001,528373
8,true,false,1000001,463727
8,false,false,1000001,529127
16,true,true,1000001,296693
16,false,true,1000001,476018
16,true,false,1000001,317585
16,false,false,1000001,477400
32,true,true,1000001,278086
32,false,true,1000001,475436
32,true,false,1000001,300198
32,false,false,1000001,476891
64,true,true,1000001,277464
64,false,true,1000001,475429
64,true,false,1000001,299622
64,false,false,1000001,476884
128,true,true,1000001,277379
128,false,true,1000001,475429
128,true,false,1000001,299539
128,false,false,1000001,476884
256,true,true,1000001,277377
256,false,true,1000001,475429
256,true,false,1000001,299533
256,false,false,1000001,476884
512,true,true,1000001,277377
512,false,true,1000001,475429
512,true,false,1000001,299533
512,false,false,1000001,476884
1024,true,true,1000001,277377
1024,false,true,1000001,475429
1024,true,false,1000001,299533
1024,false,false,1000001,476884
