Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,774963
4,false,true,1000001,791335
4,true,false,1000001,774980
4,false,false,1000001,791351
8,true,true,1000001,440897
8,false,true,1000001,484802
8,true,false,1000001,441049
8,false,false,1000001,484910
16,true,true,1000001,266348
16,false,true,1000001,427408
16,true,false,1000001,274892
16,false,false,1000001,427599
32,true,true,1000001,247761
32,false,true,1000001,427238
32,true,false,1000001,256638
32,false,false,1000001,427454
64,true,true,1000001,247333
64,false,true,1000001,427233
64,true,false,1000001,256313
64,false,false,1000001,427449
128,true,true,1000001,247261
128,false,true,1000001,427233
128,true,false,1000001,256251
128,false,false,1000001,427449
256,true,true,1000001,247261
256,false,true,1000001,427233
256,true,false,1000001,256250
256,false,false,1000001,427449
512,true,true,1000001,247261
512,false,true,1000001,427233
512,true,false,1000001,256250
512,false,false,1000001,427449
1024,true,true,1000001,247261
1024,false,true,1000001,427233
1024,true,false,1000001,256250
1024,false,false,1000001,427449
