Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,774962
4,false,true,1000001,791337
4,true,false,1000001,774980
4,false,false,1000001,791353
8,true,true,1000001,440899
8,false,true,1000001,484809
8,true,false,1000001,441051
8,false,false,1000001,484917
16,true,true,1000001,266348
16,false,true,1000001,427419
16,true,false,1000001,274892
16,false,false,1000001,427609
32,true,true,1000001,247764
32,false,true,1000001,427252
32,true,false,1000001,256641
32,false,false,1000001,427467
64,true,true,1000001,247343
64,false,true,1000001,427247
64,true,false,1000001,256323
64,false,false,1000001,427462
128,true,true,1000001,247271
128,false,true,1000001,427247
128,true,false,1000001,256261
128,false,false,1000001,427462
256,true,true,1000001,247271
256,false,true,1000001,427247
256,true,false,1000001,256260
256,false,false,1000001,427462
512,true,true,1000001,247271
512,false,true,1000001,427247
512,true,false,1000001,256260
512,false,false,1000001,427462
1024,true,true,1000001,247271
1024,false,true,1000001,427247
1024,true,false,1000001,256260
1024,false,false,1000001,427462
