Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,1000003
1,false,true,1000001,1000003
1,true,false,1000001,1000003
1,false,false,1000001,1000003
2,true,true,1000001,558191
2,false,true,1000001,636974
2,true,false,1000001,581393
2,false,false,1000001,645215
4,true,true,1000001,323097
4,false,true,1000001,505990
4,true,false,1000001,396489
4,false,false,1000001,534831
8,true,true,1000001,229330
8,false,true,1000001,489086
8,true,false,1000001,345599
8,false,false,1000001,518465
16,true,true,1000001,210292
16,false,true,1000001,488083
16,true,false,1000001,337516
16,false,false,1000001,517463
32,true,true,1000001,208240
32,false,true,1000001,488061
32,true,false,1000001,335548
32,false,false,1000001,517457
64,true,true,1000001,208138
64,false,true,1000001,488061
64,true,false,1000001,335487
64,false,false,1000001,517457
