Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,1000003
1,false,true,1000001,1000003
1,true,false,1000001,1000003
1,false,false,1000001,1000003
2,true,true,1000001,642811
2,false,true,1000001,756489
2,true,false,1000001,669408
2,false,false,1000001,756554
4,true,true,1000001,494770
4,false,true,1000001,724200
4,true,false,1000001,543412
4,false,false,1000001,724417
8,true,true,1000001,482177
8,false,true,1000001,722615
8,true,false,1000001,533513
8,false,false,1000001,722900
16,true,true,1000001,480852
16,false,true,1000001,721486
16,true,false,1000001,531196
16,false,false,1000001,721776
32,true,true,1000001,480615
32,false,true,1000001,721479
32,true,false,1000001,531024
32,false,false,1000001,721768
64,true,true,1000001,480549
64,false,true,1000001,721479
64,true,false,1000001,530979
64,false,false,1000001,721768
