Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,1000003
1,false,true,1000001,1000003
1,true,false,1000001,1000003
1,false,false,1000001,1000003
2,true,true,1000001,592192
2,false,true,1000001,853346
2,true,false,1000001,683378
2,false,false,1000001,853445
4,true,true,1000001,395786
4,false,true,1000001,834733
4,true,false,1000001,570184
4,false,false,1000001,835113
8,true,true,1000001,384017
8,false,true,1000001,833193
8,true,false,1000001,560994
8,false,false,1000001,833687
16,true,true,1000001,382539
16,false,true,1000001,832219
16,true,false,1000001,558815
16,false,false,1000001,832727
32,true,true,1000001,382290
32,false,true,1000001,832210
32,true,false,1000001,558660
32,false,false,1000001,832689
64,true,true,1000001,382222
64,false,true,1000001,832210
64,true,false,1000001,558619
64,false,false,1000001,832689
