Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,1000003
1,false,true,1000001,1000003
1,true,false,1000001,1000003
1,false,false,1000001,1000003
2,true,true,1000001,552161
2,false,true,1000001,595133
2,true,false,1000001,556238
2,false,false,1000001,595694
4,true,true,1000001,329178
4,false,true,1000001,469381
4,true,false,1000001,335621
4,false,false,1000001,471245
8,true,true,1000001,252467
8,false,true,1000001,455909
8,true,false,1000001,275679
8,false,false,1000001,462015
16,true,true,1000001,248364
16,false,true,1000001,451440
16,true,false,1000001,264153
16,false,false,1000001,455855
32,true,true,1000001,243316
32,false,true,1000001,451420
32,true,false,1000001,258565
32,false,false,1000001,455849
64,true,true,1000001,243251
64,false,true,1000001,451420
64,true,false,1000001,258512
64,false,false,1000001,455849
