Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,1000003
1,false,true,1000001,1000003
1,true,false,1000001,1000003
1,false,false,1000001,1000003
2,true,true,1000001,560519
2,false,true,1000001,654040
2,true,false,1000001,576952
2,false,false,1000001,661374
4,true,true,1000001,357678
4,false,true,1000001,560246
4,true,false,1000001,389860
4,false,false,1000001,570156
8,true,true,1000001,298182
8,false,true,1000001,551998
8,true,false,1000001,345171
8,false,false,1000001,563668
16,true,true,1000001,292223
16,false,true,1000001,548451
16,true,false,1000001,334493
16,false,false,1000001,559623
32,true,true,1000001,291146
32,false,true,1000001,548286
32,true,false,1000001,333500
32,false,false,1000001,559459
64,true,true,1000001,291038
64,false,true,1000001,548286
64,true,false,1000001,333431
64,false,false,1000001,559459
