Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,818882
1,false,true,1000001,888837
1,true,false,1000001,823950
1,false,false,1000001,888847
2,true,true,1000001,547720
2,false,true,1000001,818799
2,true,false,1000001,575671
2,false,false,1000001,820641
4,true,true,1000001,482989
4,false,true,1000001,796748
4,true,false,1000001,515046
4,false,false,1000001,797842
8,true,true,1000001,470366
8,false,true,1000001,795244
8,true,false,1000001,505002
8,false,false,1000001,797377
16,true,true,1000001,466885
16,false,true,1000001,794112
16,true,false,1000001,501663
16,false,false,1000001,795165
32,true,true,1000001,466478
32,false,true,1000001,794103
32,true,false,1000001,500252
32,false,false,1000001,795149
64,true,true,1000001,466378
64,false,true,1000001,794103
64,true,false,1000001,500189
64,false,false,1000001,795149
