Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,778068
4,false,true,1000001,817729
4,true,false,1000001,787420
4,false,false,1000001,822263
8,true,true,1000001,434952
8,false,true,1000001,574443
8,true,false,1000001,452807
8,false,false,1000001,578665
16,true,true,1000001,271611
16,false,true,1000001,499551
16,true,false,1000001,299295
16,false,false,1000001,505170
32,true,true,1000001,202246
32,false,true,1000001,489957
32,true,false,1000001,243838
32,false,false,1000001,495087
64,true,true,1000001,196008
64,false,true,1000001,489957
64,true,false,1000001,241800
64,false,false,1000001,495084
128,true,true,1000001,195507
128,false,true,1000001,489957
128,true,false,1000001,241411
128,false,false,1000001,495084
256,true,true,1000001,195413
256,false,true,1000001,489957
256,true,false,1000001,241321
256,false,false,1000001,495084
512,true,true,1000001,195389
512,false,true,1000001,489957
512,true,false,1000001,241288
512,false,false,1000001,495084
