Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,774753
4,false,true,1000001,783058
4,true,false,1000001,774763
4,false,false,1000001,783065
8,true,true,1000001,424314
8,false,true,1000001,483140
8,true,false,1000001,424374
8,false,false,1000001,483169
16,true,true,1000001,249537
16,false,true,1000001,368067
16,true,false,1000001,249672
16,false,false,1000001,368138
32,true,true,1000001,158086
32,false,true,1000001,351670
32,true,false,1000001,174488
32,false,false,1000001,351744
64,true,true,1000001,157329
64,false,true,1000001,351670
64,true,false,1000001,173814
64,false,false,1000001,351744
128,true,true,1000001,156937
128,false,true,1000001,351670
128,true,false,1000001,173438
128,false,false,1000001,351744
256,true,true,1000001,156842
256,false,true,1000001,351670
256,true,false,1000001,173346
256,false,false,1000001,351744
512,true,true,1000001,156818
512,false,true,1000001,351670
512,true,false,1000001,173313
512,false,false,1000001,351744
