Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,776562
4,false,true,1000001,790133
4,true,false,1000001,777615
4,false,false,1000001,790153
8,true,true,1000001,431110
8,false,true,1000001,505732
8,true,false,1000001,433667
8,false,false,1000001,506179
16,true,true,1000001,258700
16,false,true,1000001,403973
16,true,false,1000001,265272
16,false,false,1000001,404607
32,true,true,1000001,173436
32,false,true,1000001,387771
32,true,false,1000001,196263
32,false,false,1000001,388426
64,true,true,1000001,168143
64,false,true,1000001,387771
64,true,false,1000001,191885
64,false,false,1000001,388426
128,true,true,1000001,167731
128,false,true,1000001,387771
128,true,false,1000001,191510
128,false,false,1000001,388426
256,true,true,1000001,167636
256,false,true,1000001,387771
256,true,false,1000001,191418
256,false,false,1000001,388426
512,true,true,1000001,167612
512,false,true,1000001,387771
512,true,false,1000001,191385
512,false,false,1000001,388426
