Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,1000003
1,false,true,1000001,1000003
1,true,false,1000001,1000003
1,false,false,1000001,1000003
2,true,true,1000001,555415
2,false,true,1000001,605208
2,true,false,1000001,562173
2,false,false,1000001,606279
4,true,true,1000001,320304
4,false,true,1000001,448439
4,true,false,1000001,332777
4,false,false,1000001,456353
8,true,true,1000001,215044
8,false,true,1000001,413709
8,true,false,1000001,243672
8,false,false,1000001,421306
16,true,true,1000001,191364
16,false,true,1000001,406088
16,true,false,1000001,220885
16,false,false,1000001,407257
32,true,true,1000001,190654
32,false,true,1000001,406078
32,true,false,1000001,220232
32,false,false,1000001,407186
64,true,true,1000001,190456
64,false,true,1000001,406078
64,true,false,1000001,220038
64,false,false,1000001,407186
