Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,1000003
1,false,true,1000001,1000003
1,true,false,1000001,1000003
1,false,false,1000001,1000003
2,true,true,1000001,634641
2,false,true,1000001,755298
2,true,false,1000001,661181
2,false,false,1000001,755329
4,true,true,1000001,474702
4,false,true,1000001,715896
4,true,false,1000001,523103
4,false,false,1000001,717078
8,true,true,1000001,455191
8,false,true,1000001,709619
8,true,false,1000001,505945
8,false,false,1000001,710822
16,true,true,1000001,450198
16,false,true,1000001,708467
16,true,false,1000001,501129
16,false,false,1000001,708568
32,true,true,1000001,449685
32,false,true,1000001,708464
32,true,false,1000001,500630
32,false,false,1000001,708560
64,true,true,1000001,449549
64,false,true,1000001,708464
64,true,false,1000001,500500
64,false,false,1000001,708560
