Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,1000003
1,false,true,1000001,1000003
1,true,false,1000001,1000003
1,false,false,1000001,1000003
2,true,true,1000001,549444
2,false,true,1000001,574188
2,true,false,1000001,549473
2,false,false,1000001,574213
4,true,true,1000001,299968
4,false,true,1000001,400773
4,true,false,1000001,300076
4,false,false,1000001,408908
8,true,true,1000001,183365
8,false,true,1000001,359811
8,true,false,1000001,199715
8,false,false,1000001,367956
16,true,true,1000001,157561
16,false,true,1000001,351661
16,true,false,1000001,174036
16,false,false,1000001,351736
32,true,true,1000001,157126
32,false,true,1000001,351658
32,true,false,1000001,173623
32,false,false,1000001,351732
64,true,true,1000001,156961
64,false,true,1000001,351658
64,true,false,1000001,173458
64,false,false,1000001,351732
