Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,774753
1,false,true,1000001,783058
1,true,false,1000001,774763
1,false,false,1000001,783065
2,true,true,1000001,432501
2,false,true,1000001,492119
2,true,false,1000001,432589
2,false,false,1000001,492148
4,true,true,1000001,250075
4,false,true,1000001,368223
4,true,false,1000001,250214
4,false,false,1000001,368303
8,true,true,1000001,174892
8,false,true,1000001,359827
8,true,false,1000001,199398
8,false,false,1000001,367985
16,true,true,1000001,157500
16,false,true,1000001,351694
16,true,false,1000001,182052
16,false,false,1000001,351767
32,true,true,1000001,157196
32,false,true,1000001,351670
32,true,false,1000001,173697
32,false,false,1000001,351744
64,true,true,1000001,157112
64,false,true,1000001,351670
64,true,false,1000001,173635
64,false,false,1000001,351744
