Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,795909
1,false,true,1000001,884108
1,true,false,1000001,878690
1,false,false,1000001,884118
2,true,true,1000001,495145
2,false,true,1000001,840550
2,true,false,1000001,586320
2,false,false,1000001,840629
4,true,true,1000001,385652
4,false,true,1000001,822826
4,true,false,1000001,555610
4,false,false,1000001,823082
8,true,true,1000001,373979
8,false,true,1000001,821375
8,true,false,1000001,542908
8,false,false,1000001,822533
16,true,true,1000001,370672
16,false,true,1000001,820349
16,true,false,1000001,539783
16,false,false,1000001,820574
32,true,true,1000001,370278
32,false,true,1000001,820339
32,true,false,1000001,538485
32,false,false,1000001,820540
64,true,true,1000001,370189
64,false,true,1000001,820339
64,true,false,1000001,538428
64,false,false,1000001,820540
