Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,701792
1,false,true,1000001,864119
1,true,false,1000001,709688
1,false,false,1000001,864160
2,true,true,1000001,572477
2,false,true,1000001,813868
2,true,false,1000001,614515
2,false,false,1000001,816821
4,true,true,1000001,482950
4,false,true,1000001,802582
4,true,false,1000001,513554
4,false,false,1000001,803650
8,true,true,1000001,471859
8,false,true,1000001,795311
8,true,false,1000001,506509
8,false,false,1000001,797421
16,true,true,1000001,466973
16,false,true,1000001,794112
16,true,false,1000001,501743
16,false,false,1000001,795165
32,true,true,1000001,466558
32,false,true,1000001,794103
32,true,false,1000001,500329
32,false,false,1000001,795149
64,true,true,1000001,466418
64,false,true,1000001,794103
64,true,false,1000001,500189
64,false,false,1000001,795149
