Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,649466
1,false,true,1000001,711628
1,true,false,1000001,663498
1,false,false,1000001,712906
2,true,true,1000001,379401
2,false,true,1000001,512848
2,true,false,1000001,422579
2,false,false,1000001,523007
4,true,true,1000001,241085
4,false,true,1000001,449994
4,true,false,1000001,321217
4,false,false,1000001,470934
8,true,true,1000001,185904
8,false,true,1000001,416668
8,true,false,1000001,279688
8,false,false,1000001,441040
16,true,true,1000001,158809
16,false,true,1000001,406399
16,true,false,1000001,259776
16,false,false,1000001,432742
32,true,true,1000001,152960
32,false,true,1000001,405539
32,true,false,1000001,258036
32,false,false,1000001,432720
64,true,true,1000001,152406
64,false,true,1000001,405539
64,true,false,1000001,257895
64,false,false,1000001,432720
