Width,Register Renaming,Instructions,Cycles,IPC
8,true,21522,10763,1.9996283564062065
8,false,21522,10763,1.9996283564062065
16,true,21522,5384,3.99739970282318
16,false,21522,5384,3.99739970282318
32,true,21522,2695,7.985899814471243
32,false,21522,3079,6.989931796037674
64,true,21522,2695,7.985899814471243
64,false,21522,3079,6.989931796037674
128,true,21522,1801,11.950027762354248
128,false,21522,3079,6.989931796037674
256,true,21522,1106,19.459312839059674
256,false,21522,2401,8.963765097875886
