Width,Register Renaming,Instructions,Cycles,IPC
1,true,21537,64611,0.3333333333333333
1,false,21537,64611,0.3333333333333333
2,true,21537,32307,0.6666357136224348
2,false,21537,32307,0.6666357136224348
4,true,21537,17269,1.2471480687937924
4,false,21537,18021,1.1951057100049942
8,true,21537,11195,1.923805270209915
8,false,21537,13655,1.5772244599047969
16,true,21537,9590,2.24577685088634
16,false,21537,12974,1.6600123323570217
32,true,21537,9342,2.3053949903660884
32,false,21537,12941,1.6642454215284754
64,true,21537,9331,2.308112742471332
64,false,21537,12941,1.6642454215284754
128,true,21537,9331,2.308112742471332
128,false,21537,12941,1.6642454215284754
512,true,21537,9331,2.308112742471332
512,false,21537,12941,1.6642454215284754
1024,true,21537,9331,2.308112742471332
1024,false,21537,12941,1.6642454215284754
