Width,Register Renaming,Instructions,Cycles,IPC
1,true,21517,64551,0.3333333333333333
1,false,21517,64551,0.3333333333333333
2,true,21517,32277,0.6666356848529913
2,false,21517,32277,0.6666356848529913
4,true,21517,17253,1.2471454239842346
4,false,21517,18004,1.1951233059320152
8,true,21517,11181,1.924425364457562
8,false,21517,13642,1.5772613986219028
16,true,21517,9576,2.2469715956558063
16,false,21517,12961,1.6601342489005477
32,true,21517,9326,2.3072056615912504
32,false,21517,12928,1.6643719059405941
64,true,21517,9316,2.309682267067411
64,false,21517,12928,1.6643719059405941
128,true,21517,9316,2.309682267067411
128,false,21517,12928,1.6643719059405941
512,true,21517,9316,2.309682267067411
512,false,21517,12928,1.6643719059405941
1024,true,21517,9316,2.309682267067411
1024,false,21517,12928,1.6643719059405941
