Width,Register Renaming,Instructions,Cycles,IPC
1,true,6426,19278,0.3333333333333333
1,false,6426,19278,0.3333333333333333
2,true,6426,9640,0.666597510373444
2,false,6426,9640,0.666597510373444
4,true,6426,5061,1.2697095435684647
4,false,6426,5148,1.2482517482517483
8,true,6426,3032,2.1193931398416885
8,false,6426,3413,1.882801054790507
16,true,6426,2232,2.879032258064516
16,false,6426,2998,2.14342895263509
32,true,6426,2056,3.125486381322957
32,false,6426,2962,2.1694800810263337
64,true,6426,2048,3.1376953125
64,false,6426,2962,2.1694800810263337
128,true,6426,2048,3.1376953125
128,false,6426,2962,2.1694800810263337
512,true,6426,2048,3.1376953125
512,false,6426,2962,2.1694800810263337
1024,true,6426,2048,3.1376953125
1024,false,6426,2962,2.1694800810263337
