Width,Register Renaming,Instructions,Cycles,IPC
1,true,55524,166572,0.3333333333333333
1,false,55524,166572,0.3333333333333333
2,true,55524,83287,0.6666586622161922
2,false,55524,83287,0.6666586622161922
4,true,55524,43969,1.2627987900566309
4,false,55524,45117,1.230666932641798
8,true,55524,27572,2.013782097780357
8,false,55524,31485,1.7635064316341116
16,true,55524,21115,2.6295998105612126
16,false,55524,28400,1.9550704225352113
32,true,55524,20199,2.748848952918461
32,false,55524,28342,1.9590713428833533
64,true,55524,20177,2.751846161470982
64,false,55524,28338,1.9593478721151811
128,true,55524,20177,2.751846161470982
128,false,55524,28338,1.9593478721151811
512,true,55524,20177,2.751846161470982
512,false,55524,28338,1.9593478721151811
1024,true,55524,20177,2.751846161470982
1024,false,55524,28338,1.9593478721151811
