Width,Register Renaming,Memory Renaming,Instructions,Cycles,IPC
1,true,false,49859,149577,0.3333333333333333
1,false,false,49859,149577,0.3333333333333333
2,true,false,49859,74790,0.6666532958951732
2,false,false,49859,74790,0.6666532958951732
4,true,false,49859,40180,1.2408909905425585
4,false,false,49859,42747,1.1663742484852737
8,true,false,49859,26028,1.915590902105425
8,false,false,49859,33993,1.4667431530020887
16,true,false,49859,21840,2.2829212454212455
16,false,false,49859,33000,1.510878787878788
32,true,false,49859,21318,2.338821653063139
32,false,false,49859,32965,1.5124829364477477
64,true,false,49859,21284,2.342557789889119
64,false,false,49859,32965,1.5124829364477477
128,true,false,49859,21280,2.3429981203007517
128,false,false,49859,32965,1.5124829364477477
256,true,false,49859,21277,2.3433284767589417
256,false,false,49859,32965,1.5124829364477477
512,true,false,49859,21277,2.3433284767589417
512,false,false,49859,32965,1.5124829364477477
1024,true,false,49859,21277,2.3433284767589417
1024,false,false,49859,32965,1.5124829364477477
