Width,Register Renaming,Memory Renaming,Instructions,Cycles,IPC
1,true,false,6558,19674,0.3333333333333333
1,false,false,6558,19674,0.3333333333333333
2,true,false,6558,9838,0.6665989022158976
2,false,false,6558,9838,0.6665989022158976
4,true,false,6558,5172,1.2679814385150812
4,false,false,6558,5253,1.2484294688749287
8,true,false,6558,3094,2.1195862960568843
8,false,false,6558,3485,1.8817790530846485
16,true,false,6558,2281,2.875054800526085
16,false,false,6558,3068,2.13754889178618
32,true,false,6558,2104,3.1169201520912546
32,false,false,6558,3036,2.1600790513833994
64,true,false,6558,2097,3.127324749642346
64,false,false,6558,3036,2.1600790513833994
128,true,false,6558,2097,3.127324749642346
128,false,false,6558,3036,2.1600790513833994
256,true,false,6558,2097,3.127324749642346
256,false,false,6558,3036,2.1600790513833994
512,true,false,6558,2097,3.127324749642346
512,false,false,6558,3036,2.1600790513833994
1024,true,false,6558,2097,3.127324749642346
1024,false,false,6558,3036,2.1600790513833994
