Width,Register Renaming,Memory Renaming,Instructions,Cycles,IPC
1,true,false,14578,43734,0.3333333333333333
1,false,false,14578,43734,0.3333333333333333
2,true,false,14578,21868,0.6666361807206878
2,false,false,14578,21868,0.6666361807206878
4,true,false,14578,11567,1.2603095011671133
4,false,false,14578,11914,1.2236024844720497
8,true,false,14578,7146,2.0400223901483345
8,false,false,14578,8501,1.7148570756381603
16,true,false,14578,5601,2.602749509016247
16,false,false,14578,7816,1.8651484135107472
32,true,false,14578,5316,2.7422874341610233
32,false,false,14578,7767,1.8769151538560578
64,true,false,14578,5301,2.7500471609130352
64,false,false,14578,7767,1.8769151538560578
128,true,false,14578,5301,2.7500471609130352
128,false,false,14578,7767,1.8769151538560578
256,true,false,14578,5301,2.7500471609130352
256,false,false,14578,7767,1.8769151538560578
512,true,false,14578,5301,2.7500471609130352
512,false,false,14578,7767,1.8769151538560578
1024,true,false,14578,5301,2.7500471609130352
1024,false,false,14578,7767,1.8769151538560578
