Width,Register Renaming,Memory Renaming,Instructions,Cycles,IPC
1,true,false,8604,25812,0.3333333333333333
1,false,false,8604,25812,0.3333333333333333
2,true,false,8604,12907,0.6666150151080809
2,false,false,8604,12907,0.6666150151080809
4,true,false,8604,6859,1.254410263886864
4,false,false,8604,7033,1.2233755154272714
8,true,false,8604,4251,2.0239943542695835
8,false,false,8604,4982,1.7270172621437174
16,true,false,8604,3327,2.586113615870153
16,false,false,8604,4542,1.894319682959049
32,true,false,8604,3140,2.740127388535032
32,false,false,8604,4513,1.9064923554176822
64,true,false,8604,3129,2.749760306807287
64,false,false,8604,4513,1.9064923554176822
128,true,false,8604,3129,2.749760306807287
128,false,false,8604,4513,1.9064923554176822
256,true,false,8604,3129,2.749760306807287
256,false,false,8604,4513,1.9064923554176822
512,true,false,8604,3129,2.749760306807287
512,false,false,8604,4513,1.9064923554176822
1024,true,false,8604,3129,2.749760306807287
1024,false,false,8604,4513,1.9064923554176822
