Width,Register Renaming,Memory Renaming,Instructions,Cycles,IPC
1,true,false,6417,19251,0.3333333333333333
1,false,false,6417,19251,0.3333333333333333
2,true,false,6417,9627,0.6665627921470864
2,false,false,6417,9627,0.6665627921470864
4,true,false,6417,5055,1.2694362017804155
4,false,false,6417,5142,1.2479579929988331
8,true,false,6417,3032,2.116424802110818
8,false,false,6417,3413,1.8801640785232934
16,true,false,6417,2232,2.875
16,false,false,6417,2998,2.140426951300867
32,true,false,6417,2061,3.11353711790393
32,false,false,6417,2965,2.16424957841484
64,true,false,6417,2053,3.1256697515830494
64,false,false,6417,2965,2.16424957841484
128,true,false,6417,2053,3.1256697515830494
128,false,false,6417,2965,2.16424957841484
256,true,false,6417,2053,3.1256697515830494
256,false,false,6417,2965,2.16424957841484
512,true,false,6417,2053,3.1256697515830494
512,false,false,6417,2965,2.16424957841484
1024,true,false,6417,2053,3.1256697515830494
1024,false,false,6417,2965,2.16424957841484
