Width,Register Renaming,Memory Renaming,Instructions,Cycles,IPC
1,true,false,33969,101907,0.3333333333333333
1,false,false,33969,101907,0.3333333333333333
2,true,false,33969,50955,0.6666470415072122
2,false,false,33969,50955,0.6666470415072122
4,true,false,33969,27017,1.2573194655217086
4,false,false,33969,27727,1.2251235258051718
8,true,false,33969,16902,2.0097621583244587
8,false,false,33969,19350,1.7555038759689923
16,true,false,33969,12894,2.634481154025128
16,false,false,33969,16960,2.002889150943396
32,true,false,33969,12194,2.7857142857142856
32,false,false,33969,16898,2.0102378979760918
64,true,false,33969,12173,2.7905200032859607
64,false,false,33969,16898,2.0102378979760918
128,true,false,33969,12173,2.7905200032859607
128,false,false,33969,16898,2.0102378979760918
256,true,false,33969,12173,2.7905200032859607
256,false,false,33969,16898,2.0102378979760918
512,true,false,33969,12173,2.7905200032859607
512,false,false,33969,16898,2.0102378979760918
1024,true,false,33969,12173,2.7905200032859607
1024,false,false,33969,16898,2.0102378979760918
