Width,Register Renaming,Memory Renaming,Instructions,Cycles,IPC
1,true,false,11048,33144,0.3333333333333333
1,false,false,11048,33144,0.3333333333333333
2,true,false,11048,16573,0.6666264405961504
2,false,false,11048,16573,0.6666264405961504
4,true,false,11048,8828,1.251472587222474
4,false,false,11048,9249,1.194507514325873
8,true,false,11048,5560,1.9870503597122302
8,false,false,11048,7061,1.5646508993060473
16,true,false,11048,4585,2.409596510359869
16,false,false,11048,6594,1.6754625417045799
32,true,false,11048,4395,2.5137656427758817
32,false,false,11048,6563,1.683376504647265
64,true,false,11048,4382,2.521223185759927
64,false,false,11048,6563,1.683376504647265
128,true,false,11048,4382,2.521223185759927
128,false,false,11048,6563,1.683376504647265
256,true,false,11048,4382,2.521223185759927
256,false,false,11048,6563,1.683376504647265
512,true,false,11048,4382,2.521223185759927
512,false,false,11048,6563,1.683376504647265
1024,true,false,11048,4382,2.521223185759927
1024,false,false,11048,6563,1.683376504647265
