Width,Register Renaming,Memory Renaming,Instructions,Cycles,IPC
1,true,false,7483,22449,0.3333333333333333
1,false,false,7483,22449,0.3333333333333333
2,true,false,7483,11226,0.6665775877427401
2,false,false,7483,11226,0.6665775877427401
4,true,false,7483,5901,1.2680901542111507
4,false,false,7483,6018,1.243436357593885
8,true,false,7483,3542,2.1126482213438735
8,false,false,7483,4018,1.862369337979094
16,true,false,7483,2629,2.8463294028147583
16,false,false,7483,3559,2.1025568980050577
32,true,false,7483,2431,3.0781571369806664
32,false,false,7483,3524,2.1234392735527807
64,true,false,7483,2423,3.0883202641353695
64,false,false,7483,3524,2.1234392735527807
128,true,false,7483,2423,3.0883202641353695
128,false,false,7483,3524,2.1234392735527807
256,true,false,7483,2423,3.0883202641353695
256,false,false,7483,3524,2.1234392735527807
512,true,false,7483,2423,3.0883202641353695
512,false,false,7483,3524,2.1234392735527807
1024,true,false,7483,2423,3.0883202641353695
1024,false,false,7483,3524,2.1234392735527807
